Blog	did	order	aren	online	getting	feel	security	team	wrote	blog	post	after	huge	data	using	those	access	hear	am	march	until	around	mostly	process	our	had	service	most	ways	build	based	best	think	answer	seems	enough	many	us	company	off	run	building	social	part	why	job	latest	episode	podcast	google	tech	her	search	report	feature	were	network	both	link	several	links	between	design	looking	single	called	line	stop	top	down	look	similar	comes	thinking	doing	yourself	person	who	work	details	ll	then	probably	know	someone	keep	working	other	gets	check	great	needs	always	case	place	long	call	super	world	self	care	bad	worst	ever	question	myself	almost	he	d	remember	good	things	let	sound	made	seen	need	subscription	money	less	david	making	fun	give	me	something	important	because	own	point	actually	including	while	issue	old	white	should	fact	local	take	does	cost	example	public	under	isn	often	rest	country	them	also	too	story	idea	against	state	his	twitter	com	mdash	america	york	times	love	little	away	where	said	its	name	these	show	through	day	real	takes	readers	make	possible	free	morning	late	night	monday	friend	book	women	helped	wasn	another	again	whether	could	back	deal	along	never	problem	being	within	week	without	full	companies	member	every	price	technology	instead	means	find	hard	try	short	really	kids	m	sure	home	play	next	year	built	going	trump	done	few	months	ago	didn	any	power	trying	right	thing	use	would	vote	lost	course	makes	sense	want	much	put	lot	bit	different	party	likely	especially	current	president	over	well	says	follow	american	posts	inside	million	three	users	asked	open	account	email	number	information	still	cars	ready	market	support	may	last	life	here	list	stuff	everything	high	easy	nothing	appeared	him	global	weekend	drive	friends	recently	share	favorite	man	two	only	used	see	anything	father	six	days	left	others	however	once	help	product	else	photos	art	giving	four	five	must	star	mark	media	experience	nbsp	doesn	matter	early	haven	fast	soon	customers	set	second	yet	type	machine	ve	turned	true	though	app	went	live	apps	games	past	future	news	together	website	site	start	later	across	read	web	group	b	each	goes	same	reading	browser	via	very	thanks	took	create	add	store	user	way	anyone	happens	yesterday	smart	living	changing	perhaps	small	images	results	wrong	click	maybe	come	side	simple	already	photo	change	game	needed	years	seem	complete	street	view	go	update	sale	before	tuesday	sometimes	health	found	watch	during	month	april	half	page	products	space	donald	national	ai	better	computer	able	big	got	say	buy	shows	might	step	business	weeks	series	deals	usually	amazon	available	police	according	pay	major	least	billion	announced	worth	copyright	law	internet	final	european	ios	apple	tv	download	c	talking	bring	finally	p	pro	far	season	event	content	model	she	learning	issues	college	science	language	music	systems	ceo	child	government	digital	u	hope	continue	ideas	key	project	industry	whole	learn	helping	end	having	decade	tools	cover	finding	stay	mobile	house	gmail	changed	emails	itself	started	easier	version	successful	told	original	published	reader	such	stories	entire	video	places	review	creative	mean	community	th	amp	enjoy	school	behind	known	youtube	article	wanted	become	articles	tell	move	special	spent	hours	personal	everyone	teach	minutes	image	difference	water	happening	since	released	family	recent	loved	large	paper	word	office	young	talk	thought	attention	system	reasons	turn	write	level	writing	won	e	rules	head	interesting	pretty	walking	camera	kind	john	facebook	please	saying	happened	paying	writers	robert	legal	friday
WIL WHEATON dot NET	4	0	1	0	2	24	0	1	1	0	8	4	1	0	1	3	1	1	8	0	8	5	1	0	3	14	0	7	2	0	1	13	6	1	2	3	0	2	0	1	0	0	3	11	1	0	1	6	1	0	0	0	0	0	0	12	0	4	2	1	0	1	0	1	1	4	0	1	0	7	3	0	1	0	11	1	5	14	14	0	9	4	3	11	3	1	9	5	3	1	2	2	8	2	2	5	2	2	6	3	5	1	2	10	0	11	3	5	11	1	11	8	5	0	10	0	3	0	0	0	0	7	5	2	55	11	2	18	0	3	1	0	6	0	4	0	5	0	0	5	0	0	0	0	1	6	1	1	0	13	5	3	8	1	0	0	3	0	1	0	0	0	3	11	5	1	3	5	2	0	7	7	5	10	4	1	0	9	1	1	3	0	6	0	3	0	0	0	5	6	4	0	5	12	0	2	3	0	9	0	5	5	1	0	1	7	0	0	4	1	3	8	4	1	7	4	32	2	1	2	3	2	0	9	0	4	5	7	5	2	5	0	4	7	6	3	10	0	2	1	2	0	7	11	1	5	3	1	0	2	2	0	0	4	5	0	0	0	2	2	0	0	0	3	1	1	0	0	0	6	0	1	0	1	1	9	15	8	0	5	7	1	0	2	0	5	0	0	0	6	2	7	1	1	0	5	1	6	3	0	0	9	2	0	2	0	2	0	2	1	0	5	1	1	0	2	1	2	2	0	3	0	1	3	0	1	0	5	3	1	1	0	19	0	2	3	1	2	1	0	0	0	0	1	1	0	0	2	6	1	2	0	0	0	0	0	0	2	1	0	4	1	5	1	2	0	0	7	2	0	3	0	2	0	0	2	1	0	1	0	5	4	0	0	2	1	0	1	3	8	4	1	0	0	6	0	0	8	0	0	1	0	0	2	1	0	0	0	1	2	0	0	0	9	0	4	9	14	5	0	0	0	0	0	5	2	1	2	0	0	0	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	1	0	0	2	5	0	0	2	3	0	0	4	2	1	0	0	2	0	0	0	0	1	0	0	0	3	0	1	1	1	1	0	0	0	6	2	0	0	0	0	0	1	3	0	2	0	0	3	0	9	0	3	1	1	0	3	5	3	0	1	0	5	1	0	0	3	2	0	2	0	0	0	3	0	0	1	2	0	1	2	0	6	0	2	2	2	5	1	8	0	8	2	1	0	0	0	2	2	2	3	0	0	0	0	1	0	4	0	0	0	2	0	5	0	2	4	2	3	1	0	1	0	2	0	0	0
43 Folders	13	8	4	1	11	7	0	2	2	5	2	10	7	3	8	27	0	8	14	2	15	10	8	2	35	26	3	41	5	2	2	14	31	2	2	15	20	21	2	13	6	3	1	17	32	19	0	4	5	2	0	17	0	0	1	16	4	8	2	2	2	3	10	2	6	3	3	11	2	9	5	1	5	5	16	15	8	70	59	1	37	25	8	40	7	10	7	22	13	2	14	4	20	3	7	21	3	2	13	9	27	6	3	26	3	8	13	39	45	6	26	55	17	1	28	1	21	1	5	16	4	11	3	4	82	23	13	57	13	21	14	8	10	1	10	0	16	9	0	10	5	0	0	1	20	0	19	0	0	22	27	14	6	6	4	0	28	4	17	32	1	1	3	15	28	7	20	14	9	3	24	4	7	16	19	4	2	45	5	8	7	5	5	1	5	25	0	2	2	10	10	14	24	25	2	1	26	15	17	2	11	12	7	2	1	12	5	3	4	11	10	16	18	3	77	1	47	10	6	6	3	14	2	7	0	10	13	4	3	8	38	7	10	24	33	11	20	0	1	2	5	4	26	37	3	39	7	7	0	4	8	1	0	29	24	13	0	2	2	2	0	3	5	1	4	1	11	9	6	20	2	8	1	3	15	13	32	28	3	27	12	0	5	7	0	12	0	0	0	5	1	4	10	7	10	22	6	18	14	2	4	7	2	4	1	4	30	4	7	0	3	3	5	4	1	1	3	2	4	1	18	8	4	3	2	5	3	3	8	6	6	1	40	3	9	2	8	2	8	5	0	8	8	1	3	1	2	11	5	0	43	10	0	6	13	10	9	13	0	1	29	13	2	0	1	0	0	36	14	3	1	4	12	0	3	2	0	2	6	2	14	5	4	7	13	2	13	2	3	16	4	0	1	4	21	4	0	13	0	15	2	1	6	2	2	3	9	4	0	1	1	0	0	27	0	1	25	2	21	5	0	16	4	8	1	0	1	3	1	5	0	0	3	4	11	0	0	5	0	1	3	0	0	6	1	4	16	0	4	0	6	0	0	7	0	4	1	1	29	6	0	2	0	0	0	2	0	0	0	0	0	20	4	3	2	3	1	4	11	6	7	11	2	5	3	3	6	1	2	0	0	2	6	2	3	3	2	6	2	1	4	6	2	1	14	2	1	4	7	0	1	11	5	0	2	2	0	4	5	12	1	17	1	5	2	4	4	8	4	7	0	2	5	3	5	1	4	2	3	3	4	3	0	2	22	10	9	4	2	5	3	3	4	10	3	2	1	2	11	1	0	9	15	1	16	11	2	1	2	0	0	2
456 Berea Street	0	1	0	0	1	0	0	0	2	0	4	3	0	5	3	1	0	0	0	0	0	0	0	0	0	1	0	3	2	0	0	1	3	0	0	1	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	3	0	1	1	1	1	0	2	0	0	0	0	1	2	4	6	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	1	2	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	3	0	1	1	0	0	0	1	3	0	0	0	0	2	0	1	2	0	1	1	1	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	3	2	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	7	0	1	0	1	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	3	2	0	0	1	12	0	0	2	0	1	1	1	1	0	0	1	3	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	3	0	1	0	0	9	0	0	0	1	0	0	1	0	0	1	2	5	0	0	0	0	0	4	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	5	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	2	4	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	10	4	0	0	2	0	1	0	2	0	1	0	0	0	1	0	0	1	1	2	0	0	0	0	0	2	3	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	1	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Autoblog	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	40	1	0	5	0	1	0	4	3	0	0	0	1	4	0	12	0	0	0	0	3	0	0	0	0	0	3	0	0	3	1	0	0	0	0	0	0	0	8	0	0	0	3	0	4	1	1	0	4	0	0	0	0	1	0	3	1	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	39	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	2	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	6	0	0	0	0	5	0	0	1	3	0	0	0	0	0	0	0	3	0	3	6	3	0	0	0	0	0	0	0	0	0	0	0	42	5	0	0	0	0	0	0	0	0	5	0	0	0	1	0	1	0	2	0	6	0	0	0	3	1	0	0	0	0	0	39	1	0	0	10	0	0	0	1	1	0	1	1	0	1	0	0	0	39	0	0	1	3	0	0	0	1	0	6	3	0	39	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	156	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	4	0	1	0	0	0	0	0	3	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	9	0	0	3	0	0	7	0	0	0	0	0	0	0	3	0	3	3	0	0	0	36	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	12	0	3	0	0	2	0	0	0	1	0	0	0	3	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	39	0	0	0	0	0	6	0
The Write News	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	15	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blog maverick	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	1	0	1	0	1	0	0	1	0	0	0	0	3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	4	1	2	0	0	2	1	0	0	0	0	0	1	0	0	3	0	1	1	0	1	0	0	0	1	0	0	0	0	1	2	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	2	0	1	1	0	1	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	1	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Boing Boing	3	1	0	5	3	2	0	1	2	0	0	13	2	0	2	3	2	2	0	1	5	8	0	0	2	3	9	6	0	1	2	3	0	1	1	2	4	3	0	5	4	1	1	3	8	1	0	0	0	0	1	0	0	0	0	6	2	1	0	1	0	0	3	2	3	3	2	3	1	11	0	0	4	0	0	1	2	16	2	0	4	2	1	5	5	0	1	8	0	1	2	0	0	1	1	3	3	0	2	3	0	0	1	4	0	0	0	11	6	1	2	1	0	0	2	2	5	0	1	0	3	2	2	2	3	5	0	10	2	4	3	4	3	1	3	0	3	3	1	5	1	2	2	10	7	1	2	32	3	11	9	1	1	1	6	8	7	1	1	0	1	2	4	0	1	3	4	5	15	1	5	3	1	8	3	2	0	8	3	2	0	2	1	0	0	5	0	0	1	3	1	2	4	5	4	0	0	6	5	2	2	5	0	2	4	2	3	1	0	2	2	0	2	1	3	4	9	0	3	3	3	3	3	2	0	3	1	0	1	1	4	2	0	6	4	7	4	6	2	2	5	3	3	1	1	3	0	3	1	2	2	4	0	5	2	4	0	1	0	0	3	2	8	1	2	2	0	6	4	2	0	0	2	2	2	6	4	4	0	1	3	4	2	0	0	13	0	2	0	1	2	1	2	4	8	8	3	3	2	0	3	4	4	0	1	0	5	0	1	0	1	2	1	3	2	0	0	3	0	0	2	0	1	0	2	1	4	0	1	0	0	0	4	0	1	3	5	0	2	0	0	2	1	1	0	0	1	2	1	2	33	3	1	0	2	0	1	0	0	4	5	2	4	1	1	0	0	11	2	1	2	0	5	0	2	4	2	1	6	1	0	2	1	1	2	0	4	0	1	4	1	1	1	1	3	0	0	3	2	0	3	4	0	2	3	0	0	1	0	5	0	3	0	1	2	4	9	4	3	1	1	2	0	2	1	2	0	0	1	3	3	4	1	0	1	0	1	0	5	5	10	2	5	0	0	0	4	1	0	10	1	2	2	3	0	1	4	2	6	0	0	3	3	0	3	0	0	1	3	1	2	1	0	0	2	0	2	3	0	0	4	2	0	2	0	0	0	0	3	0	0	0	3	5	2	0	0	4	0	1	0	1	1	3	0	2	0	1	2	3	1	0	1	2	1	1	3	2	0	3	3	0	2	1	0	1	3	2	2	0	4	0	1	0	2	1	1	0	0	2	1	0	0	4	0	0	0	4	1	1	0	1	2	1	0	0	4	2	2	0	0	1	0	0	0	2	0	3	1	0	1	1
BuzzMachine	1	0	0	0	0	0	0	0	1	0	15	1	0	3	1	0	0	0	4	0	1	1	0	0	4	1	1	2	0	0	0	0	3	0	0	3	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	1	0	0	0	7	1	0	1	3	0	0	0	0	1	3	0	0	0	0	0	0	1	1	0	0	3	0	0	1	0	3	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	3	0	2	1	0	0	0	0	0	0	1	0	3	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	4	0	5	1	9	1	0	0	2	3	2	0	0	0	4	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	5	1	0	1	2	0	1	0	2	0	1	1	0	0	0	1	0	0	2	4	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	2	2	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	15	1	0	1	0	0	1	0	0	0	0	0	1	4	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	4	0	0	2	2	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0
Captain's Quarters	3	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	3	0	1	2	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	2	1	4	0	0	2	6	0	0	0	1	0	0	1	0	0	0	0	3	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	3	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
Copyblogger	0	0	0	1	0	0	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	2	2	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0
